,PCA_Components,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,weighted_avg_precison,weighted_avg_recall,weighted_avg_f1_score
0,2,0.38,0.32,0.33,0.55,0.38,0.43
1,3,0.4,0.38,0.38,0.51,0.43,0.45
2,4,0.4,0.41,0.35,0.57,0.4,0.44
3,6,0.4,0.4,0.39,0.5,0.42,0.44
4,8,0.42,0.41,0.4,0.49,0.44,0.45
5,10,0.47,0.46,0.46,0.55,0.51,0.52
6,12,0.47,0.47,0.46,0.55,0.51,0.52
7,14,0.49,0.5,0.48,0.57,0.52,0.53
8,16,0.48,0.48,0.48,0.54,0.52,0.53
9,18,0.53,0.58,0.54,0.57,0.54,0.55
10,20,0.51,0.49,0.49,0.56,0.53,0.54
11,22,0.58,0.54,0.52,0.61,0.55,0.55
12,24,0.52,0.53,0.52,0.57,0.57,0.56
13,28,0.48,0.5,0.48,0.53,0.51,0.52
14,50,0.53,0.53,0.53,0.59,0.58,0.58
